model,scenario,region,variable,unit,year,value
PyPSA-Eur,base_eu_regain,Croatia,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,2.4956808490064698e-05
PyPSA-Eur,base_eu_regain,Czechia,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,2.6652230978836492e-05
PyPSA-Eur,base_eu_regain,Denmark,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,0.0001038545034408888
PyPSA-Eur,base_eu_regain,Estonia,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,3.7430990562160006e-05
PyPSA-Eur,base_eu_regain,Finland,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,7.760112126039844e-05
PyPSA-Eur,base_eu_regain,France,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,6.836927683641028e-05
PyPSA-Eur,base_eu_regain,Germany,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,3.010206030554718e-05
PyPSA-Eur,base_eu_regain,Greece,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,2.5739817338525784e-05
PyPSA-Eur,base_eu_regain,Hungary,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,2.538695865377107e-05
PyPSA-Eur,base_eu_regain,Ireland,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,0.0006882549846246058
PyPSA-Eur,base_eu_regain,Italy,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,4.585951771308e-05
PyPSA-Eur,base_eu_regain,Kosovo,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,2.35920401160998e-05
PyPSA-Eur,base_eu_regain,Latvia,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,4.160885749565799e-05
PyPSA-Eur,base_eu_regain,Lithuania,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,3.9746652722210166e-05
PyPSA-Eur,base_eu_regain,Luxembourg,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,2.8950943101564545e-05
PyPSA-Eur,base_eu_regain,Montenegro,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,2.351839110146257e-05
PyPSA-Eur,base_eu_regain,Netherlands,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,3.449393398661157e-05
PyPSA-Eur,base_eu_regain,North Macedonia,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,2.5043413033588374e-05
PyPSA-Eur,base_eu_regain,Norway,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,0.00024516477023196103
PyPSA-Eur,base_eu_regain,Poland,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,3.063336475406145e-05
PyPSA-Eur,base_eu_regain,Portugal,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,2.5636123224936565e-05
PyPSA-Eur,base_eu_regain,Romania,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,2.4369220155165382e-05
PyPSA-Eur,base_eu_regain,Serbia,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,2.39705976589331e-05
PyPSA-Eur,base_eu_regain,Slovakia,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,2.6007901002243358e-05
PyPSA-Eur,base_eu_regain,Slovenia,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,2.512113607338054e-05
PyPSA-Eur,base_eu_regain,Spain,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,0.00010458558126817682
PyPSA-Eur,base_eu_regain,Sweden,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,8.698772967270461
PyPSA-Eur,base_eu_regain,Switzerland,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,2.8923563689172614e-05
PyPSA-Eur,base_eu_regain,United Kingdom,Investments|Energy Supply|Industry|Plastics|Naphtha Steam Cracker,Meuro/y,2030,8.698169989333174
PyPSA-Eur,base_eu_regain,Albania,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018283264396306824
PyPSA-Eur,base_eu_regain,Albania,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00015989983413720608
PyPSA-Eur,base_eu_regain,Albania,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,0.052057292595080844
PyPSA-Eur,base_eu_regain,Albania,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.05688600174677631
PyPSA-Eur,base_eu_regain,Austria,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018242747204136344
PyPSA-Eur,base_eu_regain,Austria,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.0001691118349960369
PyPSA-Eur,base_eu_regain,Austria,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,14.161365179616409
PyPSA-Eur,base_eu_regain,Austria,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.22341313270776303
PyPSA-Eur,base_eu_regain,Belgium,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018235235122050634
PyPSA-Eur,base_eu_regain,Belgium,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.0001688941151296776
PyPSA-Eur,base_eu_regain,Belgium,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,21.563106201324807
PyPSA-Eur,base_eu_regain,Belgium,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.2624200175399951
PyPSA-Eur,base_eu_regain,Bosnia and Herzegovina,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.0001825291811926614
PyPSA-Eur,base_eu_regain,Bosnia and Herzegovina,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00016259144224847505
PyPSA-Eur,base_eu_regain,Bosnia and Herzegovina,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,0.37032237949649016
PyPSA-Eur,base_eu_regain,Bosnia and Herzegovina,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.31050709395609105
PyPSA-Eur,base_eu_regain,Bulgaria,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018240256470591893
PyPSA-Eur,base_eu_regain,Bulgaria,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00016615685502225893
PyPSA-Eur,base_eu_regain,Bulgaria,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,15.913172256736022
PyPSA-Eur,base_eu_regain,Bulgaria,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.3379422092882884
PyPSA-Eur,base_eu_regain,Croatia,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.0001823964717611011
PyPSA-Eur,base_eu_regain,Croatia,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00016490366296816703
PyPSA-Eur,base_eu_regain,Croatia,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,23.369728812155042
PyPSA-Eur,base_eu_regain,Croatia,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,4.631447477572115
PyPSA-Eur,base_eu_regain,Czechia,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018249700536093706
PyPSA-Eur,base_eu_regain,Czechia,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.0001674213624646771
PyPSA-Eur,base_eu_regain,Czechia,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,1.4899560537837224
PyPSA-Eur,base_eu_regain,Czechia,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.4535823966700744
PyPSA-Eur,base_eu_regain,Denmark,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00037435838416783934
PyPSA-Eur,base_eu_regain,Denmark,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00035170331879611427
PyPSA-Eur,base_eu_regain,Denmark,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,0.005230877398157076
PyPSA-Eur,base_eu_regain,Denmark,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.006824408559756166
PyPSA-Eur,base_eu_regain,Estonia,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018866311164175904
PyPSA-Eur,base_eu_regain,Estonia,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00017358263301948886
PyPSA-Eur,base_eu_regain,Estonia,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,0.0020054404485807223
PyPSA-Eur,base_eu_regain,Estonia,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.0025592896740720115
PyPSA-Eur,base_eu_regain,Finland,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018430722496514033
PyPSA-Eur,base_eu_regain,Finland,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.0001800161584629839
PyPSA-Eur,base_eu_regain,Finland,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,0.13012274915433641
PyPSA-Eur,base_eu_regain,Finland,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.09823530306446435
PyPSA-Eur,base_eu_regain,France,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00037219703844582373
PyPSA-Eur,base_eu_regain,France,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00033348493343756855
PyPSA-Eur,base_eu_regain,France,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,58.962105672258446
PyPSA-Eur,base_eu_regain,France,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.6966625087404171
PyPSA-Eur,base_eu_regain,Germany,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018239256441881404
PyPSA-Eur,base_eu_regain,Germany,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.0001659096621339422
PyPSA-Eur,base_eu_regain,Germany,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,154.4300751207567
PyPSA-Eur,base_eu_regain,Germany,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.9822911320626985
PyPSA-Eur,base_eu_regain,Greece,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00019510372464590558
PyPSA-Eur,base_eu_regain,Greece,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.0001643669014404407
PyPSA-Eur,base_eu_regain,Greece,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,0.0008934946338704083
PyPSA-Eur,base_eu_regain,Greece,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.0011275070455232102
PyPSA-Eur,base_eu_regain,Hungary,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.0001824395252621588
PyPSA-Eur,base_eu_regain,Hungary,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00016565003379592546
PyPSA-Eur,base_eu_regain,Hungary,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,30.8393798394815
PyPSA-Eur,base_eu_regain,Hungary,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.20631991034972683
PyPSA-Eur,base_eu_regain,Ireland,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018630000247975365
PyPSA-Eur,base_eu_regain,Ireland,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.0001846386182863738
PyPSA-Eur,base_eu_regain,Ireland,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,0.004994759150186242
PyPSA-Eur,base_eu_regain,Ireland,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.0060616073910301094
PyPSA-Eur,base_eu_regain,Italy,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00038357952186283994
PyPSA-Eur,base_eu_regain,Italy,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.0003168113218871922
PyPSA-Eur,base_eu_regain,Italy,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,43.218955598673475
PyPSA-Eur,base_eu_regain,Italy,Investments|Energy Supply|Industry|Feedstocks|Smr Cc,Meuro/y,2030,0.5612043298179321
PyPSA-Eur,base_eu_regain,Kosovo,Investments|Energy Supply|Industry|Feedstocks|Fischer-Tropsch,Meuro/y,2030,0.00018270746500439593
PyPSA-Eur,base_eu_regain,Kosovo,Investments|Energy Supply|Industry|Feedstocks|H2 Electrolysis,Meuro/y,2030,0.00015814208695902608
PyPSA-Eur,base_eu_regain,Kosovo,Investments|Energy Supply|Industry|Feedstocks|Smr,Meuro/y,2030,0.11853538695358982
